offer,candidates,link_offer
Euromed and Middle East Unit - Post A: Relations with Arab Peninsula and Iraq,32,https://ep-stages.gestmax.eu/2702/1/euromed-and-middle-east-unit-post-a-relations-with-arab-peninsula-and-iraq/en_US?backlink=search
Special Committee on Foreign Interference in the EU's Democratic Processes,35,https://ep-stages.gestmax.eu/2701/1/special-committee-on-foreign-interference-in-the-eu-s-democratic-processes/en_US?backlink=search
Policy Department for External Relations - Post C: Security and Defense Policy,58,https://ep-stages.gestmax.eu/2700/1/policy-department-for-external-relations-post-c-security-and-defense-policy/en_US?backlink=search
Policy Department for External Relations - Post B: International Trade and Investment Policy,28,https://ep-stages.gestmax.eu/2699/1/policy-department-for-external-relations-post-b-international-trade-and-investment-policy/en_US?backlink=search
Policy Department for External Relations - Post A: Human Rights ,58,https://ep-stages.gestmax.eu/2698/1/policy-department-for-external-relations-post-a-human-rights/en_US?backlink=search
Audio and Podcast Unit – Post A,2,https://ep-stages.gestmax.eu/2697/1/audio-and-podcast-unit-post-a/en_US?backlink=search
Unit for Europe: Eastern Partnership and Russia - Post B,32,https://ep-stages.gestmax.eu/2696/1/unit-for-europe-eastern-partnership-and-russia-post-b/en_US?backlink=search
Unit for Europe: Eastern Partnership and Russia - Post A,36,https://ep-stages.gestmax.eu/2695/1/unit-for-europe-eastern-partnership-and-russia-post-a/en_US?backlink=search
Information Technology and IT Support Unit,1,https://ep-stages.gestmax.eu/2694/1/information-technology-and-it-support-unit/en_US?backlink=search
English Translation Unit - Post B,10,https://ep-stages.gestmax.eu/2693/1/english-translation-unit-post-b/en_US?backlink=search
English Translation Unit - Post A,12,https://ep-stages.gestmax.eu/2692/1/english-translation-unit-post-a/en_US?backlink=search
Irish Translation Unit – Post C,2,https://ep-stages.gestmax.eu/2691/1/irish-translation-unit-post-c/en_US?backlink=search
Irish Translation Unit – Post B,2,https://ep-stages.gestmax.eu/2690/1/irish-translation-unit-post-b/en_US?backlink=search
Irish Translation Unit – Post A,3,https://ep-stages.gestmax.eu/2689/1/irish-translation-unit-post-a/en_US?backlink=search
Human Rights Action Unit - Post B,32,https://ep-stages.gestmax.eu/2688/1/human-rights-action-unit-post-b/en_US?backlink=search
Human Rights Action Unit - Post A,31,https://ep-stages.gestmax.eu/2687/1/human-rights-action-unit-post-a/en_US?backlink=search
"Europe Unit : Enlargement, Western Europe and Northern Cooperation - Post B:  Montenegro and Serbia",26,https://ep-stages.gestmax.eu/2686/1/europe-unit-enlargement-western-europe-and-northern-cooperation-post-b-montenegro-and-serbia/en_US?backlink=search
"Europe Unit: Enlargement, Western Europe and Northern Cooperation - Post A: Non-EU Western European countries",16,https://ep-stages.gestmax.eu/2685/1/europe-unit-enlargement-western-europe-and-northern-cooperation-post-a-non-eu-western-european/en_US?backlink=search
Latin America Unit - Post B,42,https://ep-stages.gestmax.eu/2684/1/latin-america-unit-post-b/en_US?backlink=search
Latin America Unit - Post A,43,https://ep-stages.gestmax.eu/2683/1/latin-america-unit-post-a/en_US?backlink=search
Personnel Unit,9,https://ep-stages.gestmax.eu/2682/1/personnel-unit/en_US?backlink=search
Strategy and Innovation Unit ,21,https://ep-stages.gestmax.eu/2681/1/strategy-and-innovation-unit/en_US?backlink=search
Communication and Outreach Unit,15,https://ep-stages.gestmax.eu/2680/1/communication-and-outreach-unit/en_US?backlink=search
Election Observation and Follow-up Unit,21,https://ep-stages.gestmax.eu/2679/1/election-observation-and-follow-up-unit/en_US?backlink=search
Bulgarian Translation Unit - Post C,2,https://ep-stages.gestmax.eu/2678/1/bulgarian-translation-unit-post-c/en_US?backlink=search
